match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
South Africa Vs Australia,Australia,4,Steven Smith,c †de Kock b Coetzee,30,62,2,0,48.38,out,ODI # 4667
South Africa Vs Australia,Australia,5,Marnus Labuschagne,lbw b Shamsi,18,31,2,0,58.06,out,ODI # 4667
South Africa Vs Australia,Australia,6,Glenn Maxwell, b Shamsi,1,5,0,0,20.00,out,ODI # 4667
South Africa Vs Australia,Australia,7,Josh Inglis†, b Coetzee,28,49,3,0,57.14,out,ODI # 4667
South Africa Vs Australia,Australia,8,Mitchell Starc,,16,38,2,0,42.10,not_out,ODI # 4667
South Africa Vs Australia,Australia,9,Pat Cummins(c),,14,29,2,0,48.27,not_out,ODI # 4667
India Vs New Zealand,India,1,Rohit Sharma(c),c Williamson b Southee,47,29,4,4,162.06,out,ODI # 4678
India Vs New Zealand,India,2,Shubman Gill,,80,66,8,3,121.21,not_out,ODI # 4678
India Vs New Zealand,India,3,Virat Kohli,c Conway b Southee,117,113,9,2,103.53,out,ODI # 4678
India Vs New Zealand,India,4,Shreyas Iyer,c Mitchell b Boult,105,70,4,8,150.00,out,ODI # 4678
India Vs New Zealand,India,5,KL Rahul†,,39,20,5,2,195.00,not_out,ODI # 4678
India Vs New Zealand,India,6,Suryakumar Yadav,c Phillips b Southee,1,2,0,0,50.00,out,ODI # 4678
India Vs New Zealand,New Zealand,1,Devon Conway,c †Rahul b Mohammed Shami,13,15,3,0,86.66,out,ODI # 4678
India Vs New Zealand,New Zealand,2,Rachin Ravindra,c †Rahul b Mohammed Shami,13,22,3,0,59.09,out,ODI # 4678
India Vs New Zealand,New Zealand,3,Kane Williamson(c),c Yadav b Mohammed Shami,69,73,8,1,94.52,out,ODI # 4678
India Vs New Zealand,New Zealand,4,Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,9,7,112.60,out,ODI # 4678
India Vs New Zealand,New Zealand,5,Tom Latham†,lbw b Mohammed Shami,0,2,0,0,0.00,out,ODI # 4678
India Vs New Zealand,New Zealand,6,Glenn Phillips,c Jadeja b Bumrah,41,33,4,2,124.24,out,ODI # 4678
India Vs New Zealand,New Zealand,7,Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,0,0,40.00,out,ODI # 4678
India Vs New Zealand,New Zealand,8,Mitchell Santner,c Sharma b Mohammed Siraj,9,10,0,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,9,Tim Southee,c †Rahul b Mohammed Shami,9,10,1,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,10,Trent Boult,,2,2,0,0,100.00,not_out,ODI # 4678
India Vs New Zealand,New Zealand,11,Lockie Ferguson,c †Rahul b Mohammed Shami,6,3,0,1,200.00,out,ODI # 4678
India Vs Netherlands,India,1,Rohit Sharma(c),c Barresi b de Leede,61,54,8,2,112.96,out,ODI # 4702
India Vs Netherlands,India,2,Shubman Gill,c Nidamanuru b van Meekeren,51,32,3,4,159.37,out,ODI # 4702
India Vs Netherlands,India,3,Virat Kohli, b van der Merwe,51,56,5,1,91.07,out,ODI # 4702
India Vs Netherlands,India,4,Shreyas Iyer,,128,94,10,5,136.17,not_out,ODI # 4702
India Vs Netherlands,India,5,KL Rahul†,c Engelbrecht b de Leede,102,64,11,4,159.37,out,ODI # 4702
India Vs Netherlands,India,6,Suryakumar Yadav,,2,1,0,0,200.00,not_out,ODI # 4702
India Vs Netherlands,Netherlands,1,Wesley Barresi,c †Rahul b Mohammed Siraj,4,5,0,0,80.00,out,ODI # 4702
India Vs Netherlands,Netherlands,2,Max O'Dowd, b Jadeja,30,42,3,1,71.42,out,ODI # 4702
India Vs Netherlands,Netherlands,3,Colin Ackermann,lbw b Kuldeep Yadav,35,32,6,0,109.37,out,ODI # 4702
India Vs Netherlands,Netherlands,4,Sybrand Engelbrecht, b Mohammed Siraj,45,80,4,0,56.25,out,ODI # 4702
India Vs Netherlands,Netherlands,5,Scott Edwards(c)†,c †Rahul b Kohli,17,30,1,0,56.66,out,ODI # 4702
India Vs Netherlands,Netherlands,6,Bas de Leede, b Bumrah,12,21,1,0,57.14,out,ODI # 4702
India Vs Netherlands,Netherlands,7,Teja Nidamanuru,c Mohammed Shami b Sharma,54,39,1,6,138.46,out,ODI # 4702
India Vs Netherlands,Netherlands,8,Logan van Beek, b Kuldeep Yadav,16,15,2,0,106.66,out,ODI # 4702
India Vs Netherlands,Netherlands,9,Roelof van der Merwe,c Mohammed Shami b Jadeja,16,8,1,2,200.00,out,ODI # 4702
India Vs Netherlands,Netherlands,10,Aryan Dutt, b Bumrah,5,11,0,0,45.45,out,ODI # 4702
India Vs Netherlands,Netherlands,11,Paul van Meekeren,,3,4,0,0,75.00,not_out,ODI # 4702
England Vs Pakistan,England,1,Dawid Malan,c †Mohammad Rizwan b Iftikhar Ahmed,31,39,5,0,79.48,out,ODI # 4701
England Vs Pakistan,England,2,Jonny Bairstow,c Agha Salman b Haris Rauf,59,61,7,1,96.72,out,ODI # 4701
England Vs Pakistan,England,3,Joe Root,c Shadab Khan b Shaheen Shah Afridi,60,72,4,0,83.33,out,ODI # 4701
England Vs Pakistan,England,4,Ben Stokes, b Shaheen Shah Afridi,84,76,11,2,110.52,out,ODI # 4701
England Vs Pakistan,England,5,Jos Buttler(c)†,run out (Haris Rauf),27,18,3,1,150.00,out,ODI # 4701
England Vs Pakistan,England,6,Harry Brook,c Shaheen Shah Afridi b Haris Rauf,30,17,2,2,176.47,out,ODI # 4701
England Vs Pakistan,England,7,Moeen Ali, b Haris Rauf,8,6,0,1,133.33,out,ODI # 4701
England Vs Pakistan,England,8,Chris Woakes,,4,4,1,0,100.00,not_out,ODI # 4701
England Vs Pakistan,England,9,David Willey,c Iftikhar Ahmed b Mohammad Wasim,15,5,2,1,300.00,out,ODI # 4701
England Vs Pakistan,England,10,Gus Atkinson, b Mohammad Wasim,0,1,0,0,0.00,out,ODI # 4701
England Vs Pakistan,England,11,Adil Rashid,,0,1,0,0,0.00,not_out,ODI # 4701
England Vs Pakistan,Pakistan,1,Abdullah Shafique,lbw b Willey,0,2,0,0,0.00,out,ODI # 4701
England Vs Pakistan,Pakistan,2,Fakhar Zaman,c Stokes b Willey,1,9,0,0,11.11,out,ODI # 4701
England Vs Pakistan,Pakistan,3,Babar Azam(c),c Rashid b Atkinson,38,45,6,0,84.44,out,ODI # 4701
England Vs Pakistan,Pakistan,4,Mohammad Rizwan†, b Ali,36,51,2,0,70.58,out,ODI # 4701
England Vs Pakistan,Pakistan,5,Saud Shakeel, b Rashid,29,37,4,0,78.37,out,ODI # 4701
England Vs Pakistan,Pakistan,6,Agha Salman,c Stokes b Willey,51,45,6,1,113.33,out,ODI # 4701
England Vs Pakistan,Pakistan,7,Iftikhar Ahmed,c Malan b Ali,3,5,0,0,60.00,out,ODI # 4701
England Vs Pakistan,Pakistan,8,Shadab Khan, b Rashid,4,7,1,0,57.14,out,ODI # 4701
England Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,lbw b Atkinson,25,23,3,1,108.69,out,ODI # 4701
England Vs Pakistan,Pakistan,10,Mohammad Wasim,,16,14,2,1,114.28,not_out,ODI # 4701
England Vs Pakistan,Pakistan,11,Haris Rauf,c Stokes b Woakes,35,23,3,3,152.17,out,ODI # 4701
Bangladesh Vs Australia,Bangladesh,1,Tanzid Hasan,c & b Abbott,36,34,6,0,105.88,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,2,Litton Das,c Labuschagne b Zampa,36,45,5,0,80.00,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,3,Najmul Hossain Shanto(c),run out (Labuschagne/†Inglis),45,57,6,0,78.94,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,4,Towhid Hridoy,c Labuschagne b Stoinis,74,79,5,2,93.67,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,5,Mahmudullah,run out (Labuschagne),32,28,1,3,114.28,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,6,Mushfiqur Rahim†,c Cummins b Zampa,21,24,0,1,87.50,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,7,Mehidy Hasan Miraz,c Cummins b Abbott,29,20,4,0,145.00,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,8,Nasum Ahmed,run out (Abbott),7,11,0,0,63.63,out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,9,Mahedi Hasan,,2,3,0,0,66.66,not_out,ODI # 4700
Bangladesh Vs Australia,Bangladesh,10,Taskin Ahmed,,0,1,0,0,0.00,not_out,ODI # 4700
Bangladesh Vs Australia,Australia,1,Travis Head, b Taskin Ahmed,10,11,2,0,90.90,out,ODI # 4700
Bangladesh Vs Australia,Australia,2,David Warner,c Najmul Hossain Shanto b Mustafizur Rahman,53,61,6,0,86.88,out,ODI # 4700
Bangladesh Vs Australia,Australia,3,Mitchell Marsh,,177,132,17,9,134.09,not_out,ODI # 4700
Bangladesh Vs Australia,Australia,4,Steven Smith,,63,64,4,1,98.43,not_out,ODI # 4700
Afghanistan Vs South Africa,Afghanistan,1,Rahmanullah Gurbaz,c Klaasen b Maharaj,25,22,3,1,113.63,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,2,Ibrahim Zadran,c †de Kock b Coetzee,15,30,3,0,50.00,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,3,Rahmat Shah,c Miller b Ngidi,26,46,2,0,56.52,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,4,Hashmatullah Shahidi(c),c †de Kock b Maharaj,2,7,0,0,28.57,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,5,Azmatullah Omarzai,,97,107,7,3,90.65,not_out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,6,Ikram Alikhil†,c †de Kock b Coetzee,12,14,1,1,85.71,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,7,Mohammad Nabi,c †de Kock b Ngidi,2,3,0,0,66.66,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,8,Rashid Khan,c †de Kock b Phehlukwayo,14,30,0,0,46.66,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,9,Noor Ahmad,c †de Kock b Coetzee,26,32,4,0,81.25,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,10,Mujeeb Ur Rahman,c Markram b Coetzee,8,5,0,1,160.00,out,ODI # 4699
Afghanistan Vs South Africa,Afghanistan,11,Naveen-ul-Haq,run out (Rabada),2,4,0,0,50.00,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,1,Quinton de Kock†,lbw b Mohammad Nabi,41,47,2,3,87.23,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,2,Temba Bavuma(c),c Rahmanullah Gurbaz b Mujeeb Ur Rahman,23,28,3,0,82.14,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,3,Rassie van der Dussen,,76,95,6,1,80.00,not_out,ODI # 4699
Afghanistan Vs South Africa,South Africa,4,Aiden Markram,c Naveen-ul-Haq b Rashid Khan,25,32,1,1,78.12,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,5,Heinrich Klaasen, b Rashid Khan,10,13,1,0,76.92,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,6,David Miller,c & b Mohammad Nabi,24,33,1,1,72.72,out,ODI # 4699
Afghanistan Vs South Africa,South Africa,7,Andile Phehlukwayo,,39,37,1,3,105.40,not_out,ODI # 4699
Sri Lanka Vs New Zealand,Sri Lanka,1,Pathum Nissanka,c †Latham b Southee,2,8,0,0,25.00,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,2,Kusal Perera,c Santner b Ferguson,51,28,9,2,182.14,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,3,Kusal Mendis(c)†,c Ravindra b Boult,6,7,1,0,85.71,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,4,Sadeera Samarawickrama,c Mitchell b Boult,1,2,0,0,50.00,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,5,Charith Asalanka,lbw b Boult,8,8,1,0,100.00,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,6,Angelo Mathews,c Mitchell b Santner,16,27,2,0,59.25,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,7,Dhananjaya de Silva,c Mitchell b Santner,19,24,2,1,79.16,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,8,Chamika Karunaratne,c †Latham b Ferguson,6,17,1,0,35.29,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,9,Maheesh Theekshana,,38,91,3,0,41.75,not_out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,10,Dushmantha Chameera,c Boult b Ravindra,1,20,0,0,5.00,out,ODI # 4698
Sri Lanka Vs New Zealand,Sri Lanka,11,Dilshan Madushanka,c †Latham b Ravindra,19,48,2,0,39.58,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,1,Devon Conway,c de Silva b Chameera,45,42,9,0,107.14,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,2,Rachin Ravindra,c de Silva b Theekshana,42,34,3,3,123.52,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,3,Kane Williamson(c), b Mathews,14,15,2,0,93.33,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,4,Daryl Mitchell,c Asalanka b Mathews,43,31,5,2,138.70,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,5,Mark Chapman,run out (Samarawickrama/Mathews),7,6,1,0,116.66,out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,6,Glenn Phillips,,17,10,3,0,170.00,not_out,ODI # 4698
Sri Lanka Vs New Zealand,New Zealand,7,Tom Latham†,,2,2,0,0,100.00,not_out,ODI # 4698
England Vs Netherlands,England,1,Jonny Bairstow,c van Meekeren b Dutt,15,17,2,0,88.23,out,ODI # 4697
England Vs Netherlands,England,2,Dawid Malan,run out (†Edwards/van Beek),87,74,10,2,117.56,out,ODI # 4697
England Vs Netherlands,England,3,Joe Root, b van Beek,28,35,1,0,80.00,out,ODI # 4697
England Vs Netherlands,England,4,Ben Stokes,c Engelbrecht b van Beek,108,84,6,6,128.57,out,ODI # 4697
England Vs Netherlands,England,5,Harry Brook,c Ackermann b de Leede,11,16,2,0,68.75,out,ODI # 4697
England Vs Netherlands,England,6,Jos Buttler(c)†,c Nidamanuru b van Meekeren,5,11,0,0,45.45,out,ODI # 4697
England Vs Netherlands,England,7,Moeen Ali,c de Leede b Dutt,4,15,0,0,26.66,out,ODI # 4697
England Vs Netherlands,England,8,Chris Woakes,c †Edwards b de Leede,51,45,5,1,113.33,out,ODI # 4697
England Vs Netherlands,England,9,David Willey,c Engelbrecht b de Leede,6,2,0,1,300.00,out,ODI # 4697
England Vs Netherlands,England,10,Gus Atkinson,,2,1,0,0,200.00,not_out,ODI # 4697
England Vs Netherlands,England,11,Adil Rashid,,1,1,0,0,100.00,not_out,ODI # 4697
England Vs Netherlands,Netherlands,1,Wesley Barresi,run out (Woakes/Ali),37,62,3,1,59.67,out,ODI # 4697
England Vs Netherlands,Netherlands,2,Max O'Dowd,c Ali b Woakes,5,11,1,0,45.45,out,ODI # 4697
England Vs Netherlands,Netherlands,3,Colin Ackermann,c †Buttler b Willey,0,2,0,0,0.00,out,ODI # 4697
England Vs Netherlands,Netherlands,4,Sybrand Engelbrecht,c Woakes b Willey,33,49,3,1,67.34,out,ODI # 4697
England Vs Netherlands,Netherlands,5,Scott Edwards(c)†,c Malan b Ali,38,42,3,1,90.47,out,ODI # 4697
England Vs Netherlands,Netherlands,6,Bas de Leede, b Rashid,10,12,2,0,83.33,out,ODI # 4697
England Vs Netherlands,Netherlands,7,Teja Nidamanuru,,41,34,2,3,120.58,not_out,ODI # 4697
England Vs Netherlands,Netherlands,8,Logan van Beek,c Malan b Rashid,2,2,0,0,100.00,out,ODI # 4697
England Vs Netherlands,Netherlands,9,Roelof van der Merwe,c Rashid b Ali,0,4,0,0,0.00,out,ODI # 4697
England Vs Netherlands,Netherlands,10,Aryan Dutt, b Rashid,1,3,0,0,33.33,out,ODI # 4697
England Vs Netherlands,Netherlands,11,Paul van Meekeren,st †Buttler b Ali,4,3,1,0,133.33,out,ODI # 4697
Afghanistan Vs Australia,Afghanistan,1,Rahmanullah Gurbaz,c Starc b Hazlewood,21,25,2,0,84.00,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,2,Ibrahim Zadran,,129,143,8,3,90.20,not_out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,3,Rahmat Shah,c Hazlewood b Maxwell,30,44,1,0,68.18,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,4,Hashmatullah Shahidi(c), b Starc,26,43,2,0,60.46,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,5,Azmatullah Omarzai,c Maxwell b Zampa,22,18,1,2,122.22,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,6,Mohammad Nabi, b Hazlewood,12,10,0,1,120.00,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,7,Rashid Khan,,35,18,2,3,194.44,not_out,ODI # 4696
Afghanistan Vs Australia,Australia,1,David Warner, b Azmatullah Omarzai,18,29,3,0,62.06,out,ODI # 4696
Afghanistan Vs Australia,Australia,2,Travis Head,c †Ikram Alikhil b Naveen-ul-Haq,0,2,0,0,0.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,3,Mitchell Marsh,lbw b Naveen-ul-Haq,24,11,2,2,218.18,out,ODI # 4696
Afghanistan Vs Australia,Australia,4,Marnus Labuschagne,run out (Rahmat Shah),14,28,2,0,50.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,5,Josh Inglis†,c Ibrahim Zadran b Azmatullah Omarzai,0,1,0,0,0.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,6,Glenn Maxwell,,201,128,21,10,157.03,not_out,ODI # 4696
Afghanistan Vs Australia,Australia,7,Marcus Stoinis,lbw b Rashid Khan,6,7,1,0,85.71,out,ODI # 4696
Afghanistan Vs Australia,Australia,8,Mitchell Starc,c †Ikram Alikhil b Rashid Khan,3,7,0,0,42.85,out,ODI # 4696
Afghanistan Vs Australia,Australia,9,Pat Cummins(c),,12,68,1,0,17.64,not_out,ODI # 4696
Sri Lanka Vs Bangladesh,Sri Lanka,1,Pathum Nissanka, b Tanzim Hasan Sakib,41,36,8,0,113.88,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,2,Kusal Perera,c †Mushfiqur Rahim b Shoriful Islam,4,5,1,0,80.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,3,Kusal Mendis(c)†,c Shoriful Islam b Shakib Al Hasan,19,30,1,1,63.33,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,4,Sadeera Samarawickrama,c Mahmudullah b Shakib Al Hasan,41,42,4,0,97.61,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,5,Charith Asalanka,c Litton Das b Tanzim Hasan Sakib,108,105,6,5,102.85,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,6,Angelo Mathews,,0,0,0,0,-,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,7,Dhananjaya de Silva,st †Mushfiqur Rahim b Mehidy Hasan Miraz,34,36,4,1,94.44,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,8,Maheesh Theekshana,c sub (Nasum Ahmed) b Shoriful Islam,21,31,3,0,67.74,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,9,Dushmantha Chameera,run out (†Mushfiqur Rahim),4,9,0,0,44.44,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,10,Kasun Rajitha,c Litton Das b Tanzim Hasan Sakib,0,2,0,0,0.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Sri Lanka,11,Dilshan Madushanka,,0,1,0,0,0.00,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,1,Tanzid Hasan,c Nissanka b Madushanka,9,5,2,0,180.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,2,Litton Das,lbw b Madushanka,23,22,2,2,104.54,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto, b Mathews,90,101,12,0,89.10,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,4,Shakib Al Hasan(c),c Asalanka b Mathews,82,65,12,2,126.15,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,5,Mahmudullah, b Theekshana,22,23,3,1,95.65,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim†, b Madushanka,10,13,1,0,76.92,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,7,Towhid Hridoy,,15,7,0,2,214.28,not_out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,8,Mehidy Hasan Miraz,c Asalanka b Theekshana,3,5,0,0,60.00,out,ODI # 4695
Sri Lanka Vs Bangladesh,Bangladesh,9,Tanzim Hasan Sakib,,5,6,1,0,83.33,not_out,ODI # 4695
India Vs South Africa,India,1,Rohit Sharma(c),c Bavuma b Rabada,40,24,6,2,166.66,out,ODI # 4694
India Vs South Africa,India,2,Shubman Gill, b Maharaj,23,24,4,1,95.83,out,ODI # 4694
India Vs South Africa,India,3,Virat Kohli,,101,121,10,0,83.47,not_out,ODI # 4694
India Vs South Africa,India,4,Shreyas Iyer,c Markram b Ngidi,77,87,7,2,88.50,out,ODI # 4694
India Vs South Africa,India,5,KL Rahul†,c van der Dussen b Jansen,8,17,0,0,47.05,out,ODI # 4694
India Vs South Africa,India,6,Suryakumar Yadav,c †de Kock b Shamsi,22,14,5,0,157.14,out,ODI # 4694
India Vs South Africa,India,7,Ravindra Jadeja,,29,15,3,1,193.33,not_out,ODI # 4694
India Vs South Africa,South Africa,1,Quinton de Kock†, b Mohammed Siraj,5,10,1,0,50.00,out,ODI # 4694
India Vs South Africa,South Africa,2,Temba Bavuma(c), b Jadeja,11,19,1,0,57.89,out,ODI # 4694
India Vs South Africa,South Africa,3,Rassie van der Dussen,lbw b Mohammed Shami,13,32,1,0,40.62,out,ODI # 4694
India Vs South Africa,South Africa,4,Aiden Markram,c †Rahul b Mohammed Shami,9,6,2,0,150.00,out,ODI # 4694
India Vs South Africa,South Africa,5,Heinrich Klaasen,lbw b Jadeja,1,11,0,0,9.09,out,ODI # 4694
India Vs South Africa,South Africa,6,David Miller, b Jadeja,11,11,2,0,100.00,out,ODI # 4694
India Vs South Africa,South Africa,7,Marco Jansen,c Jadeja b Kuldeep Yadav,14,30,1,0,46.66,out,ODI # 4694
India Vs South Africa,South Africa,8,Keshav Maharaj, b Jadeja,7,11,1,0,63.63,out,ODI # 4694
India Vs South Africa,South Africa,9,Kagiso Rabada,c & b Jadeja,6,26,0,0,23.07,out,ODI # 4694
India Vs South Africa,South Africa,10,Lungi Ngidi, b Kuldeep Yadav,0,3,0,0,0.00,out,ODI # 4694
India Vs South Africa,South Africa,11,Tabraiz Shamsi,,4,4,1,0,100.00,not_out,ODI # 4694
Australia Vs England,Australia,1,Travis Head,c Root b Woakes,11,10,1,0,110.00,out,ODI # 4693
Australia Vs England,Australia,2,David Warner,c Willey b Woakes,15,16,1,1,93.75,out,ODI # 4693
Australia Vs England,Australia,3,Steven Smith,c Ali b Rashid,44,52,3,0,84.61,out,ODI # 4693
Australia Vs England,Australia,4,Marnus Labuschagne,lbw b Wood,71,83,7,0,85.54,out,ODI # 4693
Australia Vs England,Australia,5,Josh Inglis†,c Ali b Rashid,3,6,0,0,50.00,out,ODI # 4693
Australia Vs England,Australia,6,Cameron Green, b Willey,47,52,5,0,90.38,out,ODI # 4693
Australia Vs England,Australia,7,Marcus Stoinis,c Bairstow b Livingstone,35,32,3,2,109.37,out,ODI # 4693
Australia Vs England,Australia,8,Pat Cummins(c),c Malan b Wood,10,13,1,0,76.92,out,ODI # 4693
Australia Vs England,Australia,9,Mitchell Starc,c Ali b Woakes,10,13,0,0,76.92,out,ODI # 4693
Australia Vs England,Australia,10,Adam Zampa,c †Buttler b Woakes,29,19,4,0,152.63,out,ODI # 4693
Australia Vs England,Australia,11,Josh Hazlewood,,1,1,0,0,100.00,not_out,ODI # 4693
Australia Vs England,England,1,Jonny Bairstow,c †Inglis b Starc,0,1,0,0,0.00,out,ODI # 4693
Australia Vs England,England,2,Dawid Malan,c Head b Cummins,50,64,4,1,78.12,out,ODI # 4693
Australia Vs England,England,3,Joe Root,c †Inglis b Starc,13,17,2,0,76.47,out,ODI # 4693
Australia Vs England,England,4,Ben Stokes,c Stoinis b Zampa,64,90,2,3,71.11,out,ODI # 4693
Australia Vs England,England,5,Jos Buttler(c)†,c Green b Zampa,1,7,0,0,14.28,out,ODI # 4693
Australia Vs England,England,6,Moeen Ali,c Warner b Zampa,42,43,6,0,97.67,out,ODI # 4693
Australia Vs England,England,7,Liam Livingstone,c sub (SA Abbott) b Cummins,2,5,0,0,40.00,out,ODI # 4693
Australia Vs England,England,8,Chris Woakes,c Labuschagne b Stoinis,32,33,4,1,96.96,out,ODI # 4693
Australia Vs England,England,9,David Willey,c Zampa b Hazlewood,15,14,3,0,107.14,out,ODI # 4693
Australia Vs England,England,10,Adil Rashid,c †Inglis b Hazlewood,20,15,1,1,133.33,out,ODI # 4693
Australia Vs England,England,11,Mark Wood,,0,0,0,0,-,not_out,ODI # 4693
New Zealand Vs Pakistan,New Zealand,1,Devon Conway,c †Mohammad Rizwan b Hasan Ali,35,39,6,0,89.74,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,2,Rachin Ravindra,c Saud Shakeel b Mohammad Wasim,108,94,15,1,114.89,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,3,Kane Williamson(c),c Fakhar Zaman b Iftikhar Ahmed,95,79,10,2,120.25,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,4,Daryl Mitchell, b Haris Rauf,29,18,4,1,161.11,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,5,Mark Chapman, b Mohammad Wasim,39,27,7,0,144.44,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,6,Glenn Phillips, b Mohammad Wasim,41,25,4,2,164.00,out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,7,Mitchell Santner,,26,17,0,2,152.94,not_out,ODI # 4692
New Zealand Vs Pakistan,New Zealand,8,Tom Latham†,,2,2,0,0,100.00,not_out,ODI # 4692
New Zealand Vs Pakistan,Pakistan,1,Abdullah Shafique,c Williamson b Southee,4,9,1,0,44.44,out,ODI # 4692
New Zealand Vs Pakistan,Pakistan,2,Fakhar Zaman,,126,81,8,11,155.55,not_out,ODI # 4692
New Zealand Vs Pakistan,Pakistan,3,Babar Azam(c),,66,63,6,2,104.76,not_out,ODI # 4692
Netherlands Vs Afghanistan,Netherlands,1,Wesley Barresi,lbw b Mujeeb Ur Rahman,1,4,0,0,25.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,2,Max O'Dowd,run out (Azmatullah Omarzai),42,40,9,0,105.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,3,Colin Ackermann,run out (Rashid Khan/†Ikram Alikhil),29,35,4,0,82.85,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,4,Sybrand Engelbrecht,run out (Mohammad Nabi/†Ikram Alikhil),58,86,6,0,67.44,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,5,Scott Edwards(c)†,run out (†Ikram Alikhil),0,1,0,0,0.00,out,ODI # 4691
